temperature-(celsius),year,month,country,ISO3
-18.652,1936,Mar,Russian Federation,RUS
-6.274,1936,Apr,Russian Federation,RUS
2.73383,1936,May,Russian Federation,RUS
10.9598,1936,Jun,Russian Federation,RUS
15.6833,1936,Jul,Russian Federation,RUS
12.4072,1936,Aug,Russian Federation,RUS
6.43571,1936,Sep,Russian Federation,RUS
-4.3497,1936,Oct,Russian Federation,RUS
-16.691,1936,Nov,Russian Federation,RUS
-21.168,1936,Dec,Russian Federation,RUS
-24.313,1937,Jan,Russian Federation,RUS
-22.679,1937,Feb,Russian Federation,RUS
-20.167,1937,Mar,Russian Federation,RUS
-7.8451,1937,Apr,Russian Federation,RUS
2.75181,1937,May,Russian Federation,RUS
11.5713,1937,Jun,Russian Federation,RUS
14.6155,1937,Jul,Russian Federation,RUS
11.5885,1937,Aug,Russian Federation,RUS
6.21825,1937,Sep,Russian Federation,RUS
-3.8395,1937,Oct,Russian Federation,RUS
-16.52,1937,Nov,Russian Federation,RUS
-24.993,1937,Dec,Russian Federation,RUS
-25.464,1938,Jan,Russian Federation,RUS
-23.209,1938,Feb,Russian Federation,RUS
-15.649,1938,Mar,Russian Federation,RUS
-4.1981,1938,Apr,Russian Federation,RUS
3.04945,1938,May,Russian Federation,RUS
11.1887,1938,Jun,Russian Federation,RUS
15.1174,1938,Jul,Russian Federation,RUS
12.8638,1938,Aug,Russian Federation,RUS
6.53541,1938,Sep,Russian Federation,RUS
-5.5481,1938,Oct,Russian Federation,RUS
-14.47,1938,Nov,Russian Federation,RUS
-26.944,1938,Dec,Russian Federation,RUS
-28.837,1939,Jan,Russian Federation,RUS
-21.417,1939,Feb,Russian Federation,RUS
-16.336,1939,Mar,Russian Federation,RUS
-6.3774,1939,Apr,Russian Federation,RUS
2.34008,1939,May,Russian Federation,RUS
11.9677,1939,Jun,Russian Federation,RUS
14.2522,1939,Jul,Russian Federation,RUS
12.1885,1939,Aug,Russian Federation,RUS
5.40003,1939,Sep,Russian Federation,RUS
-5.2949,1939,Oct,Russian Federation,RUS
-16.481,1939,Nov,Russian Federation,RUS
-21.007,1939,Dec,Russian Federation,RUS
-30.06,1940,Jan,Russian Federation,RUS
-24.291,1940,Feb,Russian Federation,RUS
-16.929,1940,Mar,Russian Federation,RUS
-5.648,1940,Apr,Russian Federation,RUS
2.26018,1940,May,Russian Federation,RUS
11.2759,1940,Jun,Russian Federation,RUS
14.7936,1940,Jul,Russian Federation,RUS
12.6555,1940,Aug,Russian Federation,RUS
5.64161,1940,Sep,Russian Federation,RUS
-7.2441,1940,Oct,Russian Federation,RUS
-16.932,1940,Nov,Russian Federation,RUS
-25.988,1940,Dec,Russian Federation,RUS
-29.312,1941,Jan,Russian Federation,RUS
-27.025,1941,Feb,Russian Federation,RUS
-20.294,1941,Mar,Russian Federation,RUS
-9.0714,1941,Apr,Russian Federation,RUS
2.2444,1941,May,Russian Federation,RUS
11.1534,1941,Jun,Russian Federation,RUS
14.9649,1941,Jul,Russian Federation,RUS
12.4843,1941,Aug,Russian Federation,RUS
5.62259,1941,Sep,Russian Federation,RUS
-4.3622,1941,Oct,Russian Federation,RUS
-19.197,1941,Nov,Russian Federation,RUS
-27.785,1941,Dec,Russian Federation,RUS
-26.057,1942,Jan,Russian Federation,RUS
-25.571,1942,Feb,Russian Federation,RUS
-21.579,1942,Mar,Russian Federation,RUS
-8.3606,1942,Apr,Russian Federation,RUS
2.32677,1942,May,Russian Federation,RUS
11.0448,1942,Jun,Russian Federation,RUS
14.769,1942,Jul,Russian Federation,RUS
11.5881,1942,Aug,Russian Federation,RUS
5.99703,1942,Sep,Russian Federation,RUS
-5.4303,1942,Oct,Russian Federation,RUS
-17.187,1942,Nov,Russian Federation,RUS
-21.479,1942,Dec,Russian Federation,RUS
-27.204,1943,Jan,Russian Federation,RUS
-21.87,1943,Feb,Russian Federation,RUS
-14.584,1943,Mar,Russian Federation,RUS
-3.3534,1943,Apr,Russian Federation,RUS
5.28165,1943,May,Russian Federation,RUS
11.2919,1943,Jun,Russian Federation,RUS
14.5964,1943,Jul,Russian Federation,RUS
12.3886,1943,Aug,Russian Federation,RUS
6.48948,1943,Sep,Russian Federation,RUS
-3.3688,1943,Oct,Russian Federation,RUS
-17.098,1943,Nov,Russian Federation,RUS
-24.145,1943,Dec,Russian Federation,RUS
-24.081,1944,Jan,Russian Federation,RUS
-22.412,1944,Feb,Russian Federation,RUS
-15.168,1944,Mar,Russian Federation,RUS
-6.6398,1944,Apr,Russian Federation,RUS
3.29898,1944,May,Russian Federation,RUS
10.4734,1944,Jun,Russian Federation,RUS
14.1317,1944,Jul,Russian Federation,RUS
11.9942,1944,Aug,Russian Federation,RUS
7.15234,1944,Sep,Russian Federation,RUS
-4.0847,1944,Oct,Russian Federation,RUS
-17.992,1944,Nov,Russian Federation,RUS
-23.531,1944,Dec,Russian Federation,RUS
-27.429,1945,Jan,Russian Federation,RUS
-25.647,1945,Feb,Russian Federation,RUS
-19.386,1945,Mar,Russian Federation,RUS
-4.8809,1945,Apr,Russian Federation,RUS
3.51026,1945,May,Russian Federation,RUS
11.4864,1945,Jun,Russian Federation,RUS
14.3202,1945,Jul,Russian Federation,RUS
13.0138,1945,Aug,Russian Federation,RUS
6.26104,1945,Sep,Russian Federation,RUS
-3.609,1945,Oct,Russian Federation,RUS
-17.268,1945,Nov,Russian Federation,RUS
-27.282,1945,Dec,Russian Federation,RUS
-26.809,1946,Jan,Russian Federation,RUS
-25.418,1946,Feb,Russian Federation,RUS
-19.142,1946,Mar,Russian Federation,RUS
-6.2802,1946,Apr,Russian Federation,RUS
1.88781,1946,May,Russian Federation,RUS
10.238,1946,Jun,Russian Federation,RUS
14.8736,1946,Jul,Russian Federation,RUS
12.192,1946,Aug,Russian Federation,RUS
4.2222,1946,Sep,Russian Federation,RUS
-5.7075,1946,Oct,Russian Federation,RUS
-17.605,1946,Nov,Russian Federation,RUS
-26.839,1946,Dec,Russian Federation,RUS
-28.996,1947,Jan,Russian Federation,RUS
-26.001,1947,Feb,Russian Federation,RUS
-17.13,1947,Mar,Russian Federation,RUS
-5.1303,1947,Apr,Russian Federation,RUS
2.92839,1947,May,Russian Federation,RUS
10.9849,1947,Jun,Russian Federation,RUS
13.9508,1947,Jul,Russian Federation,RUS
11.6614,1947,Aug,Russian Federation,RUS
5.97605,1947,Sep,Russian Federation,RUS
-1.7655,1947,Oct,Russian Federation,RUS
-17.706,1947,Nov,Russian Federation,RUS
-25.61,1947,Dec,Russian Federation,RUS
-25.098,1948,Jan,Russian Federation,RUS
-23.927,1948,Feb,Russian Federation,RUS
-16.132,1948,Mar,Russian Federation,RUS
-5.5329,1948,Apr,Russian Federation,RUS
4.12759,1948,May,Russian Federation,RUS
11.5065,1948,Jun,Russian Federation,RUS
14.581,1948,Jul,Russian Federation,RUS
12.2146,1948,Aug,Russian Federation,RUS
6.07301,1948,Sep,Russian Federation,RUS
-3.3383,1948,Oct,Russian Federation,RUS
-14.944,1948,Nov,Russian Federation,RUS
-24.868,1948,Dec,Russian Federation,RUS
-22.675,1949,Jan,Russian Federation,RUS
-23.822,1949,Feb,Russian Federation,RUS
-17.094,1949,Mar,Russian Federation,RUS
-5.5532,1949,Apr,Russian Federation,RUS
3.18849,1949,May,Russian Federation,RUS
10.2342,1949,Jun,Russian Federation,RUS
13.6167,1949,Jul,Russian Federation,RUS
12.2871,1949,Aug,Russian Federation,RUS
5.57333,1949,Sep,Russian Federation,RUS
-3.335,1949,Oct,Russian Federation,RUS
-19.329,1949,Nov,Russian Federation,RUS
-25.112,1949,Dec,Russian Federation,RUS
-28.673,1950,Jan,Russian Federation,RUS
-24.168,1950,Feb,Russian Federation,RUS
-16.986,1950,Mar,Russian Federation,RUS
-6.6985,1950,Apr,Russian Federation,RUS
2.32999,1950,May,Russian Federation,RUS
10.8125,1950,Jun,Russian Federation,RUS
13.6387,1950,Jul,Russian Federation,RUS
11.4873,1950,Aug,Russian Federation,RUS
